,timestamp,highest_layer,length,dest_ip,source_ip,dest_port,source_port
0,1521397312.013774,DNS,88,162.212.156.148,10.0.2.15,53,43204
1,1521397312.031954,DNS,93,10.0.2.15,162.212.156.148,43204,53
2,1521397313.034562,DNS,88,162.212.156.148,10.0.2.15,53,43204
3,1521397313.050511,DNS,93,10.0.2.15,162.212.156.148,43204,53
4,1521397314.052148,DNS,88,162.212.156.148,10.0.2.15,53,43204
5,1521397314.068427,DNS,93,10.0.2.15,162.212.156.148,43204,53
6,1521397315.068838,DNS,88,162.212.156.148,10.0.2.15,53,43204
7,1521397315.083043,DNS,93,10.0.2.15,162.212.156.148,43204,53
8,1521397316.084064,DNS,88,162.212.156.148,10.0.2.15,53,43204
9,1521397316.100277,DNS,93,10.0.2.15,162.212.156.148,43204,53
10,1521397317.103274,DNS,88,162.212.156.148,10.0.2.15,53,43204
11,1521397317.119268,DNS,93,10.0.2.15,162.212.156.148,43204,53
12,1521397318.120046,DNS,88,162.212.156.148,10.0.2.15,53,43204
13,1521397318.138889,DNS,99,10.0.2.15,162.212.156.148,43204,53
14,1521397319.141493,DNS,88,162.212.156.148,10.0.2.15,53,43204
15,1521397319.15556,DNS,99,10.0.2.15,162.212.156.148,43204,53
16,1521397327.434411,DNS,70,75.75.75.75,10.0.2.15,53,45204
17,1521397327.452144,DNS,86,10.0.2.15,75.75.75.75,45204,53
18,1521397327.46808,DNS,87,75.75.75.75,10.0.2.15,53,47111
19,1521397327.48311,DNS,157,10.0.2.15,75.75.75.75,47111,53
20,1521397330.026521,DNS,69,75.75.75.75,10.0.2.15,53,51949
21,1521397330.045303,DNS,101,10.0.2.15,75.75.75.75,51949,53
22,1521397330.103229,DNS,87,75.75.75.75,10.0.2.15,53,60816
23,1521397330.12167,DNS,146,10.0.2.15,75.75.75.75,60816,53
24,1521397331.714014,DNS,92,75.75.75.75,10.0.2.15,53,36048
25,1521397331.720505,DNS,90,75.75.75.75,10.0.2.15,53,58999
26,1521397331.721296,DNS,92,75.75.75.75,10.0.2.15,53,53523
27,1521397331.721603,DNS,80,75.75.75.75,10.0.2.15,53,57996
28,1521397331.721677,DNS,80,75.75.75.75,10.0.2.15,53,57996
29,1521397331.72474,DNS,74,75.75.75.75,10.0.2.15,53,43790
30,1521397331.724823,DNS,74,75.75.75.75,10.0.2.15,53,43790
31,1521397331.725097,DNS,79,75.75.75.75,10.0.2.15,53,46118
32,1521397331.725158,DNS,79,75.75.75.75,10.0.2.15,53,46118
33,1521397331.744245,DNS,151,10.0.2.15,75.75.75.75,58999,53
34,1521397331.744649,DNS,79,75.75.75.75,10.0.2.15,53,35552
35,1521397331.744728,DNS,153,10.0.2.15,75.75.75.75,53523,53
36,1521397331.744759,DNS,79,75.75.75.75,10.0.2.15,53,35552
37,1521397331.745166,DNS,81,75.75.75.75,10.0.2.15,53,54157
38,1521397331.745228,DNS,81,75.75.75.75,10.0.2.15,53,54157
39,1521397331.748425,DNS,251,10.0.2.15,75.75.75.75,57996,53
40,1521397331.750473,DNS,250,10.0.2.15,75.75.75.75,46118,53
41,1521397331.750487,DNS,323,10.0.2.15,75.75.75.75,57996,53
42,1521397331.752267,DNS,346,10.0.2.15,75.75.75.75,46118,53
43,1521397331.752276,DNS,159,10.0.2.15,75.75.75.75,43790,53
44,1521397331.762836,DNS,175,10.0.2.15,75.75.75.75,35552,53
45,1521397331.762848,DNS,247,10.0.2.15,75.75.75.75,35552,53
46,1521397331.762875,DNS,113,10.0.2.15,75.75.75.75,54157,53
47,1521397331.76317,DNS,137,10.0.2.15,75.75.75.75,54157,53
48,1521397331.769186,DNS,90,10.0.2.15,75.75.75.75,43790,53
49,1521397331.781403,DNS,151,10.0.2.15,75.75.75.75,36048,53
50,1521397331.781784,DNS,81,75.75.75.75,10.0.2.15,53,42076
51,1521397331.781868,DNS,81,75.75.75.75,10.0.2.15,53,42076
52,1521397331.802202,DNS,97,10.0.2.15,75.75.75.75,42076,53
53,1521397331.804366,DNS,109,10.0.2.15,75.75.75.75,42076,53
54,1521397332.740565,DNS,93,75.75.75.75,10.0.2.15,53,46538
55,1521397332.742552,DNS,93,75.75.75.75,10.0.2.15,53,46538
56,1521397332.764535,DNS,130,10.0.2.15,75.75.75.75,46538,53
57,1521397332.764546,DNS,195,10.0.2.15,75.75.75.75,46538,53
58,1521397339.338002,DNS,80,162.212.156.148,10.0.2.15,53,43917
59,1521397339.353212,DNS,109,10.0.2.15,162.212.156.148,43917,53
60,1521397339.353387,DNS,101,162.212.156.148,10.0.2.15,53,43917
61,1521397339.366759,DNS,155,10.0.2.15,162.212.156.148,43917,53
62,1521397339.371989,DNS,86,162.212.156.148,10.0.2.15,53,43917
63,1521397339.386101,DNS,166,10.0.2.15,162.212.156.148,43917,53
64,1521397339.386174,DNS,121,162.212.156.148,10.0.2.15,53,43917
65,1521397339.401144,DNS,192,10.0.2.15,162.212.156.148,43917,53
66,1521397339.401242,DNS,130,162.212.156.148,10.0.2.15,53,43917
67,1521397339.41555,DNS,215,10.0.2.15,162.212.156.148,43917,53
68,1521397339.415643,DNS,136,162.212.156.148,10.0.2.15,53,43917
69,1521397339.429439,DNS,231,10.0.2.15,162.212.156.148,43917,53
70,1521397339.4295,DNS,116,162.212.156.148,10.0.2.15,53,43917
71,1521397339.443212,DNS,179,10.0.2.15,162.212.156.148,43917,53
72,1521397339.443313,DNS,132,162.212.156.148,10.0.2.15,53,43917
73,1521397339.484856,DNS,220,10.0.2.15,162.212.156.148,43917,53
74,1521397339.484945,DNS,86,162.212.156.148,10.0.2.15,53,43917
75,1521397339.497921,DNS,101,10.0.2.15,162.212.156.148,43917,53
76,1521397339.497996,DNS,86,162.212.156.148,10.0.2.15,53,43917
77,1521397339.512588,DNS,153,10.0.2.15,162.212.156.148,43917,53
78,1521397339.51265,DNS,86,162.212.156.148,10.0.2.15,53,43917
79,1521397339.526741,DNS,144,10.0.2.15,162.212.156.148,43917,53
80,1521397339.526802,DNS,86,162.212.156.148,10.0.2.15,53,43917
81,1521397339.541733,DNS,137,10.0.2.15,162.212.156.148,43917,53
82,1521397339.541801,DNS,86,162.212.156.148,10.0.2.15,53,43917
83,1521397339.57833,DNS,92,10.0.2.15,162.212.156.148,43917,53
84,1521397339.578404,DNS,86,162.212.156.148,10.0.2.15,53,43917
85,1521397339.592399,DNS,93,10.0.2.15,162.212.156.148,43917,53
86,1521397339.592468,DNS,89,162.212.156.148,10.0.2.15,53,43917
87,1521397339.606479,DNS,94,10.0.2.15,162.212.156.148,43917,53
88,1521397339.608921,DNS,88,162.212.156.148,10.0.2.15,53,43917
89,1521397340.60993,DNS,88,162.212.156.148,10.0.2.15,53,43917
90,1521397340.625564,DNS,93,10.0.2.15,162.212.156.148,43917,53
91,1521397341.627916,DNS,88,162.212.156.148,10.0.2.15,53,43917
92,1521397341.645197,DNS,93,10.0.2.15,162.212.156.148,43917,53
93,1521397342.646505,DNS,88,162.212.156.148,10.0.2.15,53,43917
94,1521397342.659937,DNS,93,10.0.2.15,162.212.156.148,43917,53
95,1521397343.643498,DNS,190,162.212.156.148,10.0.2.15,53,43917
96,1521397343.658903,DNS,184,10.0.2.15,162.212.156.148,43917,53
97,1521397343.665528,DNS,88,162.212.156.148,10.0.2.15,53,43917
98,1521397343.681949,DNS,195,10.0.2.15,162.212.156.148,43917,53
99,1521397344.64774,DNS,190,162.212.156.148,10.0.2.15,53,43917
100,1521397344.67802,DNS,184,10.0.2.15,162.212.156.148,43917,53
101,1521397344.683222,DNS,88,162.212.156.148,10.0.2.15,53,43917
102,1521397344.697177,DNS,195,10.0.2.15,162.212.156.148,43917,53
103,1521397345.697371,DNS,88,162.212.156.148,10.0.2.15,53,43917
104,1521397345.711379,DNS,93,10.0.2.15,162.212.156.148,43917,53
105,1521397346.714688,DNS,88,162.212.156.148,10.0.2.15,53,43917
106,1521397346.728545,DNS,93,10.0.2.15,162.212.156.148,43917,53
107,1521397347.728717,DNS,88,162.212.156.148,10.0.2.15,53,43917
108,1521397347.743838,DNS,93,10.0.2.15,162.212.156.148,43917,53
109,1521397348.086286,DNS,162,162.212.156.148,10.0.2.15,53,43917
110,1521397348.100762,DNS,163,10.0.2.15,162.212.156.148,43917,53
111,1521397348.100927,DNS,157,162.212.156.148,10.0.2.15,53,43917
112,1521397348.145498,DNS,266,10.0.2.15,162.212.156.148,43917,53
113,1521397348.145709,DNS,200,162.212.156.148,10.0.2.15,53,43917
114,1521397348.173869,DNS,224,10.0.2.15,162.212.156.148,43917,53
115,1521397348.174025,DNS,157,162.212.156.148,10.0.2.15,53,43917
116,1521397348.187541,DNS,546,10.0.2.15,162.212.156.148,43917,53
117,1521397348.187729,DNS,324,162.212.156.148,10.0.2.15,53,43917
118,1521397348.204008,DNS,162,10.0.2.15,162.212.156.148,43917,53
119,1521397348.204078,DNS,303,162.212.156.148,10.0.2.15,53,43917
120,1521397348.238939,DNS,329,10.0.2.15,162.212.156.148,43917,53
121,1521397348.239095,DNS,247,162.212.156.148,10.0.2.15,53,43917
122,1521397348.254338,DNS,371,10.0.2.15,162.212.156.148,43917,53
123,1521397348.254518,DNS,210,162.212.156.148,10.0.2.15,53,43917
124,1521397348.276263,DNS,629,10.0.2.15,162.212.156.148,43917,53
125,1521397348.278426,DNS,168,162.212.156.148,10.0.2.15,53,43917
126,1521397348.31237,DNS,215,10.0.2.15,162.212.156.148,43917,53
127,1521397348.331515,DNS,235,10.0.2.15,162.212.156.148,43917,53
128,1521397348.331614,DNS,88,162.212.156.148,10.0.2.15,53,43917
129,1521397348.331819,DNS,211,162.212.156.148,10.0.2.15,53,43917
130,1521397348.346535,DNS,155,10.0.2.15,162.212.156.148,43917,53
131,1521397348.349258,DNS,324,10.0.2.15,162.212.156.148,43917,53
132,1521397348.349331,DNS,88,162.212.156.148,10.0.2.15,53,43917
133,1521397348.349519,DNS,233,162.212.156.148,10.0.2.15,53,43917
134,1521397348.36505,DNS,210,10.0.2.15,162.212.156.148,43917,53
135,1521397348.365295,DNS,324,162.212.156.148,10.0.2.15,53,43917
136,1521397348.37897,DNS,238,10.0.2.15,162.212.156.148,43917,53
137,1521397348.379033,DNS,324,162.212.156.148,10.0.2.15,53,43917
138,1521397348.392901,DNS,329,10.0.2.15,162.212.156.148,43917,53
139,1521397348.392968,DNS,324,162.212.156.148,10.0.2.15,53,43917
140,1521397348.408111,DNS,329,10.0.2.15,162.212.156.148,43917,53
141,1521397348.408174,DNS,178,162.212.156.148,10.0.2.15,53,43917
142,1521397348.424489,DNS,986,10.0.2.15,162.212.156.148,43917,53
143,1521397348.431435,DNS,88,162.212.156.148,10.0.2.15,53,43917
144,1521397348.43756,DNS,324,162.212.156.148,10.0.2.15,53,43917
145,1521397348.445981,DNS,183,10.0.2.15,162.212.156.148,43917,53
146,1521397348.454357,DNS,93,10.0.2.15,162.212.156.148,43917,53
147,1521397348.454425,DNS,324,162.212.156.148,10.0.2.15,53,43917
148,1521397348.48102,DNS,329,10.0.2.15,162.212.156.148,43917,53
149,1521397348.481083,DNS,324,162.212.156.148,10.0.2.15,53,43917
150,1521397348.500267,DNS,329,10.0.2.15,162.212.156.148,43917,53
151,1521397348.500327,DNS,324,162.212.156.148,10.0.2.15,53,43917
152,1521397348.514024,DNS,329,10.0.2.15,162.212.156.148,43917,53
153,1521397348.514079,DNS,324,162.212.156.148,10.0.2.15,53,43917
154,1521397348.527507,DNS,329,10.0.2.15,162.212.156.148,43917,53
155,1521397348.527573,DNS,225,162.212.156.148,10.0.2.15,53,43917
156,1521397348.56213,DNS,329,10.0.2.15,162.212.156.148,43917,53
157,1521397348.562305,DNS,263,162.212.156.148,10.0.2.15,53,43917
158,1521397348.579156,DNS,293,10.0.2.15,162.212.156.148,43917,53
159,1521397348.584273,DNS,263,162.212.156.148,10.0.2.15,53,43917
160,1521397348.589322,DNS,330,10.0.2.15,162.212.156.148,43917,53
161,1521397348.589485,DNS,263,162.212.156.148,10.0.2.15,53,43917
162,1521397348.598097,DNS,360,10.0.2.15,162.212.156.148,43917,53
163,1521397348.603985,DNS,263,162.212.156.148,10.0.2.15,53,43917
164,1521397348.604122,DNS,338,10.0.2.15,162.212.156.148,43917,53
165,1521397348.604304,DNS,293,162.212.156.148,10.0.2.15,53,43917
166,1521397348.620448,DNS,268,10.0.2.15,162.212.156.148,43917,53
167,1521397348.620458,DNS,360,10.0.2.15,162.212.156.148,43917,53
168,1521397348.625642,DNS,88,162.212.156.148,10.0.2.15,53,43917
169,1521397348.716842,DNS,1104,10.0.2.15,162.212.156.148,43917,53
170,1521397348.726956,DNS,88,162.212.156.148,10.0.2.15,53,43917
171,1521397348.756997,DNS,157,162.212.156.148,10.0.2.15,53,43917
172,1521397348.770891,DNS,202,10.0.2.15,162.212.156.148,43917,53
173,1521397348.771047,DNS,157,162.212.156.148,10.0.2.15,53,43917
174,1521397348.805585,DNS,162,10.0.2.15,162.212.156.148,43917,53
175,1521397348.805748,DNS,324,162.212.156.148,10.0.2.15,53,43917
176,1521397348.831709,DNS,162,10.0.2.15,162.212.156.148,43917,53
177,1521397348.831778,DNS,231,162.212.156.148,10.0.2.15,53,43917
178,1521397348.849296,DNS,391,10.0.2.15,162.212.156.148,43917,53
179,1521397348.849307,DNS,373,10.0.2.15,162.212.156.148,43917,53
180,1521397348.849439,DNS,88,162.212.156.148,10.0.2.15,53,43917
181,1521397348.862818,DNS,193,10.0.2.15,162.212.156.148,43917,53
182,1521397348.863087,DNS,157,162.212.156.148,10.0.2.15,53,43917
183,1521397348.901016,DNS,162,10.0.2.15,162.212.156.148,43917,53
184,1521397348.901164,DNS,233,162.212.156.148,10.0.2.15,53,43917
185,1521397348.918188,DNS,338,10.0.2.15,162.212.156.148,43917,53
186,1521397348.920148,DNS,239,162.212.156.148,10.0.2.15,53,43917
187,1521397348.935589,DNS,344,10.0.2.15,162.212.156.148,43917,53
188,1521397348.936029,DNS,324,162.212.156.148,10.0.2.15,53,43917
189,1521397348.95142,DNS,329,10.0.2.15,162.212.156.148,43917,53
190,1521397348.951533,DNS,324,162.212.156.148,10.0.2.15,53,43917
191,1521397348.970483,DNS,329,10.0.2.15,162.212.156.148,43917,53
192,1521397348.970544,DNS,324,162.212.156.148,10.0.2.15,53,43917
193,1521397348.991912,DNS,329,10.0.2.15,162.212.156.148,43917,53
194,1521397348.991979,DNS,324,162.212.156.148,10.0.2.15,53,43917
195,1521397349.008918,DNS,329,10.0.2.15,162.212.156.148,43917,53
196,1521397349.009004,DNS,324,162.212.156.148,10.0.2.15,53,43917
197,1521397349.023698,DNS,329,10.0.2.15,162.212.156.148,43917,53
198,1521397349.023758,DNS,225,162.212.156.148,10.0.2.15,53,43917
199,1521397349.059817,DNS,230,10.0.2.15,162.212.156.148,43917,53
200,1521397349.060028,DNS,324,162.212.156.148,10.0.2.15,53,43917
201,1521397349.075101,DNS,329,10.0.2.15,162.212.156.148,43917,53
202,1521397349.075161,DNS,324,162.212.156.148,10.0.2.15,53,43917
203,1521397349.088734,DNS,391,10.0.2.15,162.212.156.148,43917,53
