,timestamp,highest_layer,length,dest_ip,dest_port
0,1521394900.952762,TCP,58,172.17.0.2,8080
1,1521394900.952817,TCP,58,10.0.2.2,55952
2,1521394900.952939,TCP,54,172.17.0.2,8080
3,1521394900.952944,HTTP,766,172.17.0.2,8080
4,1521394900.952983,TCP,54,10.0.2.2,55952
5,1521394901.053331,TCP,7354,10.0.2.2,55952
6,1521394901.053442,TCP,1754,10.0.2.2,55952
7,1521394901.053574,TCP,54,172.17.0.2,8080
8,1521394901.05358,TCP,54,172.17.0.2,8080
9,1521394901.053583,TCP,54,172.17.0.2,8080
10,1521394901.053585,TCP,54,172.17.0.2,8080
11,1521394901.053587,TCP,54,172.17.0.2,8080
12,1521394901.053589,TCP,54,172.17.0.2,8080
13,1521394901.053592,TCP,54,172.17.0.2,8080
14,1521394901.053671,TCP,525,10.0.2.2,55952
15,1521394901.053751,TCP,54,172.17.0.2,8080
16,1521394901.056015,DATA-TEXT-LINES,459,10.0.2.2,55952
17,1521394901.056201,TCP,54,172.17.0.2,8080
18,1521394901.081545,HTTP,703,172.17.0.2,8080
19,1521394901.081603,TCP,54,10.0.2.2,55952
20,1521394901.083664,TCP,5023,10.0.2.2,55952
21,1521394901.083876,DATA-TEXT-LINES,59,10.0.2.2,55952
22,1521394901.084384,TCP,54,172.17.0.2,8080
23,1521394901.084393,TCP,54,172.17.0.2,8080
24,1521394901.084396,TCP,54,172.17.0.2,8080
25,1521394901.084398,TCP,54,172.17.0.2,8080
26,1521394901.084401,TCP,54,172.17.0.2,8080
27,1521394903.605212,HTTP,765,172.17.0.2,8080
28,1521394903.606702,HTTP,211,10.0.2.2,55952
29,1521394903.606958,TCP,54,172.17.0.2,8080
30,1521394903.610774,HTTP,780,172.17.0.2,8080
31,1521394903.644613,TCP,7354,10.0.2.2,55952
32,1521394903.644783,TCP,1754,10.0.2.2,55952
33,1521394903.644849,TCP,54,172.17.0.2,8080
34,1521394903.644855,TCP,54,172.17.0.2,8080
35,1521394903.644857,TCP,54,172.17.0.2,8080
36,1521394903.644859,TCP,54,172.17.0.2,8080
37,1521394903.644975,TCP,54,172.17.0.2,8080
38,1521394903.644979,TCP,54,172.17.0.2,8080
39,1521394903.645023,TCP,525,10.0.2.2,55952
40,1521394903.645127,TCP,54,172.17.0.2,8080
