,timestamp,highest_layer,length,dest_ip,dest_port
0,1553740465.177278,TLS,55,74.125.124.95,443
1,1553740465.193878,TCP,66,10.194.59.155,61103
2,1553740467.062089,TLS,55,104.25.218.21,443
3,1553740467.069729,TCP,66,10.194.59.155,64299
4,1553740468.17002,TCP,55,151.101.184.193,80
5,1553740468.178199,TCP,66,10.194.59.155,64301
6,1553740470.197694,TCP,55,74.125.124.95,443
7,1553740470.212976,TCP,66,10.194.59.155,61103
8,1553740471.349033,TCP,54,151.101.184.193,80
9,1553740471.35932,VSSMONITORING,56,10.194.59.155,64301
10,1553740471.359494,TCP,54,151.101.184.193,80
11,1553740472.256541,TLS,55,151.101.64.114,443
12,1553740472.263381,TCP,66,10.194.59.155,64266
13,1553740475.2189,TCP,55,74.125.124.95,443
14,1553740475.240481,TCP,66,10.194.59.155,61103
15,1553740475.811292,TCP,54,52.200.177.58,443
16,1553740475.811459,TCP,54,52.200.177.58,443
17,1553740475.812531,TCP,66,130.126.151.9,443
18,1553740475.813252,TCP,66,130.126.151.9,443
19,1553740475.815664,TCP,66,10.194.59.155,64337
20,1553740475.815669,TCP,66,10.194.59.155,64338
21,1553740475.815808,TCP,54,130.126.151.9,443
22,1553740475.81591,TCP,54,130.126.151.9,443
23,1553740475.81661,TLS,571,130.126.151.9,443
24,1553740475.817023,TLS,571,130.126.151.9,443
25,1553740475.824651,TLS,1514,10.194.59.155,64338
26,1553740475.824653,TCP,1514,10.194.59.155,64338
27,1553740475.824654,TLS,1514,10.194.59.155,64337
28,1553740475.824657,TCP,1514,10.194.59.155,64337
29,1553740475.824731,TCP,54,130.126.151.9,443
30,1553740475.824828,TCP,54,130.126.151.9,443
31,1553740475.828193,TCP,1514,10.194.59.155,64337
32,1553740475.828194,TCP,1514,10.194.59.155,64337
33,1553740475.828195,TLS,705,10.194.59.155,64337
34,1553740475.828196,TCP,1514,10.194.59.155,64338
35,1553740475.828196,TCP,1514,10.194.59.155,64338
36,1553740475.828197,TLS,705,10.194.59.155,64338
37,1553740475.828267,TCP,54,130.126.151.9,443
38,1553740475.828353,TCP,54,130.126.151.9,443
39,1553740475.838819,VSSMONITORING,56,10.194.59.155,64281
40,1553740475.839112,TLS,236,130.126.151.9,443
41,1553740475.844198,TLS,129,10.194.59.155,64338
42,1553740475.845353,TLS,236,130.126.151.9,443
43,1553740475.846058,TLS,1514,130.126.151.9,443
44,1553740475.84607,TLS,215,130.126.151.9,443
45,1553740475.848306,TCP,66,10.194.59.155,64338
46,1553740475.848308,TCP,60,10.194.59.155,64338
47,1553740475.851959,TLS,129,10.194.59.155,64337
48,1553740475.85196,TLS,1514,10.194.59.155,64338
49,1553740475.851961,TCP,1514,10.194.59.155,64338
50,1553740475.851963,TCP,1514,10.194.59.155,64338
51,1553740475.851963,TCP,1514,10.194.59.155,64338
52,1553740475.851964,TCP,1514,10.194.59.155,64338
53,1553740475.852035,TCP,54,130.126.151.9,443
54,1553740475.853168,TCP,1514,10.194.59.155,64338
55,1553740475.853221,TCP,54,130.126.151.9,443
56,1553740475.854604,TLS,1315,10.194.59.155,64338
57,1553740475.896884,TCP,54,130.126.151.9,443
58,1553740475.897244,TCP,54,130.126.151.9,443
59,1553740478.135618,TLS,93,10.194.59.155,64296
60,1553740478.13562,TLS,78,10.194.59.155,64296
61,1553740478.13562,VSSMONITORING,56,10.194.59.155,64296
62,1553740478.135621,VSSMONITORING,56,10.194.59.155,64296
63,1553740478.135735,TCP,54,104.31.72.18,443
64,1553740478.136072,TCP,54,104.31.72.18,443
65,1553740478.142392,VSSMONITORING,56,10.194.59.155,64296
66,1553740480.241593,TCP,55,74.125.124.95,443
67,1553740480.262348,TCP,66,10.194.59.155,61103
68,1553740484.110854,TLS,97,13.89.217.116,443
69,1553740484.143813,TLS,179,10.194.59.155,60921
70,1553740484.189399,TCP,54,13.89.217.116,443
71,1553740485.153618,TLS,102,10.194.59.155,61103
72,1553740485.194337,TCP,54,74.125.124.95,443
73,1553740488.935519,TLS,311,10.194.59.155,64203
74,1553740488.940858,TLS,584,162.125.18.133,443
75,1553740488.963212,VSSMONITORING,56,10.194.59.155,64203
76,1553740488.963282,TLS,378,162.125.18.133,443
77,1553740488.985728,VSSMONITORING,56,10.194.59.155,64203
78,1553740489.456294,TLS,85,10.194.59.155,64335
79,1553740489.456296,VSSMONITORING,56,10.194.59.155,64335
80,1553740489.456297,VSSMONITORING,56,10.194.59.155,64335
81,1553740489.456387,TCP,54,162.125.34.137,443
82,1553740490.15669,TCP,55,74.125.124.95,443
