	timestamp	dest_ip	dest_port
0	1521394900.952762	172.17.0.2	8080
1	1521394900.952817	10.0.2.2	55952
2	1521394900.952939	172.17.0.2	8080
3	1521394900.952944	172.17.0.2	8080
4	1521394900.952983	10.0.2.2	55952
5	1521394901.053331	10.0.2.2	55952
6	1521394901.053442	10.0.2.2	55952
7	1521394901.053574	172.17.0.2	8080
8	1521394901.05358	172.17.0.2	8080
9	1521394901.053583	172.17.0.2	8080
10	1521394901.053585	172.17.0.2	8080
11	1521394901.053587	172.17.0.2	8080
12	1521394901.053589	172.17.0.2	8080
13	1521394901.053592	172.17.0.2	8080
14	1521394901.053671	10.0.2.2	55952
15	1521394901.053751	172.17.0.2	8080
16	1521394901.056015	10.0.2.2	55952
17	1521394901.056201	172.17.0.2	8080
18	1521394901.081545	172.17.0.2	8080
19	1521394901.081603	10.0.2.2	55952
20	1521394901.083664	10.0.2.2	55952
21	1521394901.083876	10.0.2.2	55952
22	1521394901.084384	172.17.0.2	8080
23	1521394901.084393	172.17.0.2	8080
24	1521394901.084396	172.17.0.2	8080
25	1521394901.084398	172.17.0.2	8080
26	1521394901.084401	172.17.0.2	8080
27	1521394903.605212	172.17.0.2	8080
28	1521394903.606702	10.0.2.2	55952
29	1521394903.606958	172.17.0.2	8080
30	1521394903.610774	172.17.0.2	8080
31	1521394903.644613	10.0.2.2	55952
32	1521394903.644783	10.0.2.2	55952
33	1521394903.644849	172.17.0.2	8080
34	1521394903.644855	172.17.0.2	8080
35	1521394903.644857	172.17.0.2	8080
36	1521394903.644859	172.17.0.2	8080
37	1521394903.644975	172.17.0.2	8080
38	1521394903.644979	172.17.0.2	8080
39	1521394903.645023	10.0.2.2	55952
40	1521394903.645127	172.17.0.2	8080
41	1521394903.649155	10.0.2.2	55952
42	1521394903.649601	172.17.0.2	8080
43	1521394903.678907	172.17.0.2	8080
44	1521394903.68048	10.0.2.2	55952
45	1521394903.680721	172.17.0.2	8080
46	1521394903.680727	172.17.0.2	8080
47	1521394903.680731	172.17.0.2	8080
48	1521394903.680853	10.0.2.2	55952
49	1521394903.68189	172.17.0.2	8080
50	1521394906.801015	172.17.0.2	8080
51	1521394906.839973	10.0.2.2	55952
52	1521394907.434008	10.0.2.2	55952
53	1521394907.43415	10.0.2.2	55952
54	1521394907.434278	10.0.2.2	55952
55	1521394907.434389	172.17.0.2	8080
56	1521394907.434396	172.17.0.2	8080
57	1521394907.434399	172.17.0.2	8080
58	1521394907.434402	172.17.0.2	8080
59	1521394907.434404	172.17.0.2	8080
60	1521394907.434406	172.17.0.2	8080
61	1521394907.434409	172.17.0.2	8080
62	1521394907.434607	172.17.0.2	8080
63	1521394907.455466	10.0.2.2	55952
64	1521394907.456627	172.17.0.2	8080
65	1521394912.048495	172.17.0.2	8080
66	1521394912.048577	10.0.2.2	55952
67	1521394912.406106	10.0.2.2	55952
68	1521394912.40621	10.0.2.2	55952
69	1521394912.406303	172.17.0.2	8080
70	1521394912.40631	172.17.0.2	8080
71	1521394912.406313	172.17.0.2	8080
72	1521394912.406315	172.17.0.2	8080
73	1521394912.406317	172.17.0.2	8080
74	1521394912.406319	172.17.0.2	8080
75	1521394912.406395	10.0.2.2	55952
76	1521394912.406458	172.17.0.2	8080
